142. yetogen  [God a pain cover?]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1612667093 
149. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1610475609 
153. C-man  [世界の歌姫]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1608851929 
203. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [遊スペース　マジカル@兵庫県@近畿] Score: 1583400860 
359. Koppe  [サンドリヨンマスター]    [遊スペース　マジカル@兵庫県@近畿] Score: 1477633144 
385. BOB  [練習中]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1454463463 
464. K-mis  [HG魔改造ポリビニル神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1393616357 
472. R230  [日本一周]    [ラウンドワン伊丹店@兵庫県@近畿] Score: 1389218821 
473. **85**  [台湾勢]    [セガつかしん@兵庫県@近畿] Score: 1387923665 
476. UWAAZ  [不可能を可能にする者]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1386718671 
489. Takaha*C  [はじめてのぐるこす]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1364209944 
535. Lelei_K  [死神]    [セガ明石@兵庫県@近畿] Score: 1323950973 
622. alhime  [「馬鹿じゃないの？」]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1263797218 
813. Mary*  [今日の日をいつか思い出せ]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1158972105 
928. Keturin@  [壁をすり抜けられる程度の女王]    [ジーフラット姫路東駅前店@兵庫県@近畿] Score: 1096692182 
948. TERUMI_K  [I love "Satisfiction (Massive New Krew Remix)"]    [セガ明石@兵庫県@近畿] Score: 1083024940 
966. AIRIN  [楽園の巫女]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1073446382 
970. A-Y.s9  [カノン ゴッド]    [遊スペース　マジカル@兵庫県@近畿] Score: 1071570505 
973. TeRA  [つらい]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1069640423 
990. Rk*2B!_K  [しんどい]    [セガ明石@兵庫県@近畿] Score: 1061827837 
