1. newxh  [RAY FORCE KING]    [タイトーステーション所沢店@埼玉県@関東] Score: 1582000000 
2. K.I.  [神・陸拾壱段]    [アミパラテクノランド店@岡山県@中国] Score: 1582000000 
3. marirui  [Good Night, Bad God.]    [タイトーステーション大須店@愛知県@東海] Score: 1582000000 
4. FUJIN  [北海道勢]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1582000000 
5. YUKIMARU  [Good Night, Bad God.]    [ＡＧスクエア東大阪@大阪府@近畿] Score: 1581998564 
6. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1581988688 
7. zoroakun  [小夜ちゃん女王]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1581903603 
8. HIHIME  [God a pain cover?]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1581856972 
9. WARNING  [WARNING!!]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1581815506 
10. Megumin  [大☆天☆才]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1581626119 
11. Shisa  [ドリームパーティーゴッド]    [ジャムジャム神栖店@茨城県@関東] Score: 1581386156 
12. Hirojixi  [夢現神]    [タイトーステーション大須店@愛知県@東海] Score: 1581352813 
13. ERION+++  [I love "It's a pit world"]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1581348884 
14. B  [I love "Black Moon Sympathy"]    [セガ安城@愛知県@東海] Score: 1581290117 
15. Hazuneko  [Bright God]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1581193990 
16. CROW  [LINK PERFECT]    [キャロム大宮店@埼玉県@関東] Score: 1580984594 
17. TyonTa  [腹ぺこ]    [タイトーイン綾瀬@東京都@関東] Score: 1580941008 
18. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1580705072 
19. L.pis*YY  [労働反対神]    [ＴＡＣ郡山@福島県@東北] Score: 1580581562 
20. LUCA  [MAD GOD]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1580286541 
21. PoCkRo.B  [第二回天下一音ゲ祭 ファイナリスト]    [タイトーステーション立川北口店@東京都@関東] Score: 1580263611 
22. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1580032703 
23. Y*xx-!?  [Ever Free God]    [セガワールド草津@滋賀県@近畿] Score: 1579951001 
24. SKYMAN  [ドリームパーティーゴッド]    [スターダスト@岡山県@中国] Score: 1579924275 
25. 2K-DeW  [God noir forever.]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1579777683 
26. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1579307381 
27. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1578816994 
28. MHRJ  [星の歌姫]    [ロックンボウル@秋田県@東北] Score: 1578748981 
29. MiroT  [ドリームパーティーゴッド]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1578470237 
30. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1578390513 
31. QWERTZ  [I love IOSYS]    [ｎａｍｃｏイオンモール名取店@宮城県@東北] Score: 1578320943 
32. Mavis.V  [God more raves?]    [セガ水戸@茨城県@関東] Score: 1578162611 
33. CloudyB.  [真・一溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1577908353 
34. Inver  [神の末裔の亡霊]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1577814803 
35. HAK0BUNE  [変なTシャツヤロー]    [タイトーステーション大須店@愛知県@東海] Score: 1577777141 
36. GUREKO+  [ドリームパーティーゴッド]    [ロックンボウル@秋田県@東北] Score: 1577775176 
37. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1577674681 
38. mikan?  [I love "W.W.D"]    [ラウンドワン青森店@青森県@東北] Score: 1577636316 
39. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1577502247 
40. yetogen  [God a pain cover?]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1577346026 
41. tsnk  [It's a pit god]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1577301006 
42. 44327  [最高の舞台を目指せ！]    [ラウンドワン福山店@広島県@中国] Score: 1577293864 
43. Shikyo  [TGM神]    [キャッツアイ麻生店@北海道@北海道] Score: 1577063162 
44. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1577002899 
45. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1576954384 
46. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1576826787 
47. KenWong  [AXION KING]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1576748049 
48. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1576539098 
49. SCOTT  [春夏秋冬の神]    [タイトーステーション大須店@愛知県@東海] Score: 1576308374 
50. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1576127728 
51. 9_tan*40  [一番星☆☆☆]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1575970667 
