57. /*nYa  [そーなのかー]    [メジャーゲーム館@新潟県@信越] Score: 1567267010 
63. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1564961259 
102. RLya  [微粒子神]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1557308165 
104. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1557115965 
114. IIBOU  [超シューティング神]    [アピナ上越インター店@新潟県@信越] Score: 1552956778 
119. K.x*N3  [歌って踊れるゲーマーアイドル]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1552156834 
272. JAMOJI  [Cruel God]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1481978021 
307. IMAE  [curry神]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1464353602 
321. 10-LL*  [女々しい神]    [メジャーゲーム館@新潟県@信越] Score: 1447342371 
335. unagi  [(9)神]    [メジャーロード２４@新潟県@信越] Score: 1440709788 
368. Re***  [REV. × GC 達人]    [アピナ長岡店@新潟県@信越] Score: 1417104794 
457. Kero  [落ち着きなさNo.1]    [ラウンドワン新潟店@新潟県@信越] Score: 1336337589 
470. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1325333937 
594. KEITA_KU  [ふたつのARIA]    [メジャーゲーム館@新潟県@信越] Score: 1236127722 
768. HATHUNE  [morning god]    [メジャーロード２４@新潟県@信越] Score: 1140946756 
847. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1093776942 
888. gatta  [小さな百鬼夜行]    [ラウンドワン新潟店@新潟県@信越] Score: 1071839360 
894. Nonnnn**  [台湾勢]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1070026347 
900. Kouhei  [Good Night, Bad King.]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1067520807 
909. Y.  [Get down everybody!]    [アピナ長岡店@新潟県@信越] Score: 1064672581 
