"Taiwan"@"2017年09月27日02時10分"

1. Hazuneko(16)  [猫神]  Score: 1572167874
2. Xuzuo(64)  [Detonator God]  Score: 1563449807
3. HORIZON(88)  [Ｓ＋級紅茶]  Score: 1558727515
4. *_MIKU_*(116)  [MikuMikuGod]  Score: 1550518266
5. GROOVER(117)  [「幼女の世界」]  Score: 1550253035
6. KYONKO(123)  [ノリノリンカちゃん]  Score: 1547387243
7. xx_Adam(140)  [ネトゲ廃人大王]  Score: 1541822252
8. S-Kang(156)  [天下一チャレンジャー]  Score: 1534927465
9. xx_LA-LA(182)  [強欲の魔法使い]  Score: 1524380119
10. S_LAN(185)  [α]  Score: 1522305064
11. xx_Clark(210)  [空間騎兵]  Score: 1508831368
12. 387(221)  [「プリスティンビート」]  Score: 1505486175
13. R.KaBaTa(237)  [発狂大魔人]  Score: 1499744378
14. LEO*(245)  [愛知勢]  Score: 1495425104
15. L(255)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1489351076
16. HAPPYEXE(313)  [第五ノ封印ヲ解放セシ者]  Score: 1456376564
17. MOEOU(322)  [神・陸級]  Score: 1444463778
18. FOX186(397)  [夏だ！海だ！初音ミク]  Score: 1390700893
19. AZUSA@.@(485)  [星条旗の女王]  Score: 1311952278
20. xx_DiC(504)  [妹大王]  Score: 1296079111
21. B.RS(511)  [我が駆るは、天翔る鉄騎兵]  Score: 1292611470
22. 3345678(559)  [メイド先生]  Score: 1255819575
23. LDT_JACK(581)  [STARLIGHT GOD]  Score: 1239610326
24. Flaxer#(585)  [無名の王]  Score: 1237000681
25. Kirby#64(595)  [青龍]  Score: 1230462839
26. Xa<>_xx(659)  [戦車女王]  Score: 1190242230
27. NGGFN(679)  [レンかわいいよレン]  Score: 1180135864
28. RedBunny(692)  [幸福理論神]  Score: 1175460226
29. PLATINUM(722)  [十人の話を同時に聞くことが出来る女神]  Score: 1158507166
30. SkyFox(723)  [S級明智光秀]  Score: 1157734927
31. LDT-Cus(732)  [LINK MASTER]  Score: 1153954858
32. O_____O(770)  [Ｓ＋級チョコレート]  Score: 1139720154
33. G8.inc(783)  [練習中]  Score: 1131391752
34. BIGBANG(801)  [世界の傍観者]  Score: 1118425581
35. AXue(829)  [GROOVER]  Score: 1104568611
36. +_RM13_(839)  [GENESYS]  Score: 1096239606
37. HALKEN(841)  [I love 燦]  Score: 1095440304
38. DBB_HTC(857)  [I love "東方不死鳥"]  Score: 1088134407
39. Kevin(889)  [I love "蒼空に舞え、墨染の桜"]  Score: 1069395375
40. tinrtgu(899)  [絶望]  Score: 1065425281
