"Taiwan"@"2017年09月28日02時10分"

1. Hazuneko(16)  [猫神]  Score: 1572167874
2. Xuzuo(66)  [Detonator God]  Score: 1563449807
3. HORIZON(72)  [Ｓ＋級紅茶]  Score: 1562721401
4. *_MIKU_*(117)  [MikuMikuGod]  Score: 1550518266
5. GROOVER(119)  [「幼女の世界」]  Score: 1550253035
6. KYONKO(124)  [DREAM PARTY!]  Score: 1547458100
7. xx_Adam(140)  [ネトゲ廃人大王]  Score: 1541822252
8. S-Kang(157)  [天下一チャレンジャー]  Score: 1534927465
9. xx_LA-LA(182)  [強欲の魔法使い]  Score: 1524380119
10. S_LAN(185)  [α]  Score: 1522305064
11. xx_Clark(211)  [空間騎兵]  Score: 1508831368
12. 387(222)  [「プリスティンビート」]  Score: 1505486175
13. R.KaBaTa(238)  [発狂大魔人]  Score: 1499744378
14. LEO*(245)  [愛知勢]  Score: 1495425104
15. L(255)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1489351076
16. HAPPYEXE(313)  [第五ノ封印ヲ解放セシ者]  Score: 1456376564
17. MOEOU(323)  [神・陸級]  Score: 1444463778
18. FOX186(397)  [夏だ！海だ！初音ミク]  Score: 1390700893
19. AZUSA@.@(485)  [星条旗の女王]  Score: 1311952278
20. xx_DiC(507)  [妹大王]  Score: 1296079111
21. B.RS(513)  [我が駆るは、天翔る鉄騎兵]  Score: 1292611470
22. 3345678(560)  [メイド先生]  Score: 1255819575
23. LDT_JACK(581)  [STARLIGHT GOD]  Score: 1239610326
24. Flaxer#(587)  [無名の王]  Score: 1237000681
25. Kirby#64(596)  [青龍]  Score: 1230462839
26. Xa<>_xx(659)  [戦車女王]  Score: 1190242230
27. NGGFN(680)  [レンかわいいよレン]  Score: 1180135864
28. RedBunny(692)  [幸福理論神]  Score: 1175685132
29. PLATINUM(723)  [十人の話を同時に聞くことが出来る女神]  Score: 1158507166
30. SkyFox(724)  [S級明智光秀]  Score: 1157734927
31. LDT-Cus(734)  [LINK MASTER]  Score: 1153954858
32. O_____O(771)  [Ｓ＋級チョコレート]  Score: 1139720154
33. G8.inc(784)  [練習中]  Score: 1131391752
34. BIGBANG(804)  [世界の傍観者]  Score: 1118425581
35. +_RM13_(812)  [GENESYS]  Score: 1115659037
36. AXue(831)  [GROOVER]  Score: 1104568611
37. HALKEN(842)  [I love 燦]  Score: 1095440304
38. DBB_HTC(858)  [I love "東方不死鳥"]  Score: 1088134407
39. Kevin(891)  [I love "蒼空に舞え、墨染の桜"]  Score: 1069395375
40. tinrtgu(900)  [絶望]  Score: 1065425281
