"Taiwan"@"2017年11月05日02時10分"

1. Hazuneko(17)  [Bright God]  Score: 1590198634
2. *_MIKU_*(67)  [MikuMikuGod]  Score: 1582347456
3. Xuzuo(71)  [Detonator God]  Score: 1581509902
4. HORIZON(74)  [Ｓ＋級紅茶]  Score: 1580726518
5. KYONKO(121)  [LINK PERFECT]  Score: 1567697986
6. xx_Adam(140)  [ドリームパーティーゴッド]  Score: 1560636867
7. S-Kang(163)  [天下一チャレンジャー]  Score: 1552840630
8. GROOVER(170)  [「幼女の世界」]  Score: 1551248901
9. xx_LA-LA(176)  [バーカバーカ！]  Score: 1548529176
10. S_LAN(186)  [α]  Score: 1540547946
11. xx_Clark(210)  [玄武]  Score: 1528415631
12. 387(230)  [「プリスティンビート」]  Score: 1519911819
13. LEO*(235)  [愛知勢]  Score: 1517922321
14. R.KaBaTa(270)  [発狂大魔人]  Score: 1496746678
15. L(272)  [ゆっくりしていってね！]  Score: 1495210390
16. MOEOU(293)  [青龍]  Score: 1483567896
17. HAPPYEXE(300)  [S級武田信玄]  Score: 1478173117
18. FOX186(389)  [最高の舞台を目指せ！]  Score: 1413376240
19. xx_DiC(457)  [I love "Blue Destiny Blue"]  Score: 1350867405
20. B.RS(461)  [メイド王]  Score: 1348604488
21. AZUSA@.@(488)  [魔奴化]  Score: 1326117476
22. 3345678(586)  [メイド先生]  Score: 1251128979
23. LDT_JACK(606)  [STARLIGHT GOD]  Score: 1237570269
24. Kirby#64(609)  [青龍]  Score: 1234441697
25. Flaxer#(618)  [無名の王]  Score: 1231099273
26. NGGFN(635)  [レンかわいいよレン]  Score: 1214921595
27. Xa<>_xx(659)  [戦車女王]  Score: 1201453169
28. RedBunny(684)  [幸福理論神]  Score: 1190743240
29. PLATINUM(693)  [次の曲が始まるのです女神]  Score: 1186961328
30. SkyFox(705)  [ドリームパーティーキング]  Score: 1178488322
31. O_____O(755)  [Ｓ＋級すき焼き]  Score: 1159569498
32. LDT-Cus(777)  [LINK MASTER]  Score: 1148230902
33. G8.inc(821)  [練習中]  Score: 1125660707
34. +_RM13_(824)  [EXTREME]  Score: 1123215359
35. AXue(828)  [GROOVER]  Score: 1120787505
36. BIGBANG(838)  [世界の傍観者]  Score: 1112598659
37. DBB_HTC(843)  [I love "東方不死鳥"]  Score: 1111580967
38. HALKEN(863)  [I love 燦]  Score: 1098842447
39. Kevin(887)  [I love "蒼空に舞え、墨染の桜"]  Score: 1087213356
40. SRH(891)  [I love "議論 -HEAT UP-"]  Score: 1084994651
41. SAKI(932)  [神霊「夢想封印 瞬」]  Score: 1064546220
42. COASTER(953)  [初代スコアタ騎士]  Score: 1048087514
43. Akatsuki(955)  [第四ノ封印ヲ解放セシ者]  Score: 1047559093
44. moroko@@(966)  [メイド秘技「殺人ドール」]  Score: 1042578379
45. tender(983)  [神霊「夢想封印 瞬」]  Score: 1032885194
