"Taiwan"@"2017年09月21日02時10分"

1. Hazuneko(17)  [猫神]  Score: 1563203558
2. HORIZON(72)  [Ｓ＋級紅茶]  Score: 1553827265
3. Xuzuo(93)  [Detonator God]  Score: 1550529825
4. GROOVER(102)  [「幼女の世界」]  Score: 1547343003
5. *_MIKU_*(118)  [MikuMikuGod]  Score: 1542704570
6. KYONKO(128)  [TANO*C GOD]  Score: 1537953558
7. S-Kang(157)  [天下一チャレンジャー]  Score: 1525288868
8. xx_Adam(161)  [悪ノ女王]  Score: 1524149568
9. xx_LA-LA(169)  [強欲の魔法使い]  Score: 1521796473
10. S_LAN(193)  [α]  Score: 1510550527
11. xx_Clark(219)  [空間騎兵]  Score: 1500291363
12. 387(224)  [「プリスティンビート」]  Score: 1497411737
13. R.KaBaTa(227)  [発狂大魔人]  Score: 1496898312
14. LEO*(237)  [愛知勢]  Score: 1492943906
15. L(267)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1475790130
16. HAPPYEXE(307)  [第五ノ封印ヲ解放セシ者]  Score: 1455851789
17. MOEOU(333)  [Ｓ級オシリス]  Score: 1432274359
18. FOX186(398)  [夏だ！海だ！初音ミク]  Score: 1379794224
19. AZUSA@.@(485)  [死を操る程度の女王]  Score: 1307673534
20. B.RS(519)  [神速の反射神経]  Score: 1279371346
21. xx_DiC(538)  [妹大王]  Score: 1265093064
22. 3345678(552)  [メイド先生]  Score: 1255819575
23. LDT_JACK(573)  [STARLIGHT GOD]  Score: 1239610326
24. Flaxer#(576)  [無名の王]  Score: 1237000681
25. Kirby#64(591)  [青龍]  Score: 1230462839
26. Xa<>_xx(652)  [戦車女王]  Score: 1188892243
27. NGGFN(695)  [レンかわいいよレン]  Score: 1170269312
28. RedBunny(703)  [幸福理論神]  Score: 1166757220
29. LDT-Cus(722)  [LINK MASTER]  Score: 1153954858
30. PLATINUM(731)  [十人の話を同時に聞くことが出来る女神]  Score: 1150503034
31. SkyFox(741)  [「紅色の幻想郷」]  Score: 1146997999
32. G8.inc(777)  [練習中]  Score: 1131391752
33. O_____O(779)  [Ｓ＋級ハンバーグ]  Score: 1130268363
34. BIGBANG(794)  [世界の傍観者]  Score: 1118425581
35. <M13_(834)  [GENESYS]  Score: 1094144047
36. AXue(841)  [GROOVER]  Score: 1091479761
37. HALKEN(846)  [I love 燦]  Score: 1087868993
38. DBB_HTC(864)  [I love "東方不死鳥"]  Score: 1078447043
39. Kevin(882)  [I love "蒼空に舞え、墨染の桜"]  Score: 1069395375
40. tinrtgu(890)  [絶望]  Score: 1065425281
