Taiwan@2018年04月25日02時10分

1.Hatuneko(9)  [環状線神]  Score: 1780291003
2.*_MIKU_*(23)  [トリノコシティ・ゴッド]  Score: 1774773037
3.Adam030(83)  [第四ノ封印ヲ解放セシ者]  Score: 1750318648
4.KYONKO(85)  [妹様]  Score: 1748514731
5.LA-LA(122)  [バーカバーカ！]  Score: 1726159492
6.X-Clark-(150)  [Blue King Blue]  Score: 1707933937
7.xx_030(158)  [会いたい神]  Score: 1706780399
8.KL+.G(160)  [α]  Score: 1706198045
9.YAMIGAMI(211)  [鵺]  Score: 1678494510
10.Xu.(223)  [Detonator God]  Score: 1673099903
11.387(224)  [「プリスティンビート」]  Score: 1672898981
12.HORIZON(226)  [Ｓ＋級紅茶]  Score: 1670900434
13.S-Kang(254)  [STARLIGHT GOD]  Score: 1641578658
14.Obsolete(264)  [TANO*C MASTER]  Score: 1634335653
15.LEO*(319)  [滋賀勢]  Score: 1582734696
16.FOX186(322)  [ウロボロス]  Score: 1580489670
17.GROOVER(360)  [「幼女の世界」]  Score: 1545116306
18.NC_B.RS(361)  [神々が恋した神]  Score: 1545003704
19.RedBunny(367)  [幸福理論神]  Score: 1539041963
20.HAPPYEXE(370)  [S級織田信長]  Score: 1535778396
21.On1D40ru(404)  [GROOVER]  Score: 1510363740
22.L(405)  [ミクかわいいよミク]  Score: 1509852005
23.AZUSA>.<(470)  [星条旗の女王]  Score: 1448077793
24.NGGFN(484)  [レンかわいいよレン]  Score: 1438447738
25.BIGBANG(494)  [世界の傍観者]  Score: 1429512842
26.SkyFox(571)  [あるいは王という概念へのサクシード]  Score: 1355558481
27.O_____O(582)  [上上下下ABAB]  Score: 1348902427
28.Xa_xx(652)  [Starlight Road King]  Score: 1304461708
29.ETHEREUM(665)  [白金神]  Score: 1298605407
30.+_RM13_(674)  [:-) master]  Score: 1291104741
31.Kevin(725)  [I love "蒼空に舞え、墨染の桜"]  Score: 1252473468
32.Kirby#64(744)  [青龍]  Score: 1237613289
33.Patrick(749)  [初PERFECT]  Score: 1234400485
34.LDT_JACK(758)  [STARLIGHT GOD]  Score: 1229659896
35.DBB_HTC(760)  [I love "東方不死鳥"]  Score: 1228312284
36.HALKEN(775)  [I love 燦]  Score: 1216949416
37.Flaxer#(800)  [無名の王]  Score: 1203666851
38.Yorda(806)  [FEB, 2018 TOP RANKER]  Score: 1197862970
39.ER-AKTK(860)  [第四ノ封印ヲ解放セシ者]  Score: 1169459648
40.SAKI(954)  [永遠の巫女]  Score: 1125521206
41.LDT-Cus(958)  [遠征]  Score: 1123099322
42.@XUE(969)  [日本勢]  Score: 1116080509
43.SRH(991)  [I love "議論 -HEAT UP-"]  Score: 1105628984
