Taiwan@2018年03月26日02時10分

1.Hazuneko(17)  [環状線神]  Score: 1694411223
2.*_MIKU_*(63)  [MikuMikuGod]  Score: 1688931404
3.Xuzuo(97)  [Detonator God]  Score: 1682096060
4.KYONKO(123)  [LINK PERFECT]  Score: 1672499387
5.HORIZON(136)  [Ｓ＋級紅茶]  Score: 1667183097
6.xx_Adam(142)  [第四ノ封印ヲ解放セシ者]  Score: 1664349435
7.S-Kang(164)  [天下一チャレンジャー]  Score: 1654197756
8.xx_LA-LA(167)  [バーカバーカ！]  Score: 1651026962
9.R.KaBaTa(192)  [TANO*C MASTER]  Score: 1641502817
10.xx_DiC(195)  [会いたい神]  Score: 1640868999
11.S_LAN(196)  [α]  Score: 1640861906
12.xx_Clark(219)  [「荒ぶる戦士」]  Score: 1627792005
13.387(234)  [「プリスティンビート」]  Score: 1616879991
14.MOEOU(252)  [獏]  Score: 1605957124
15.LEO*(280)  [北海道勢]  Score: 1581844808
16.GROOVER(328)  [「幼女の世界」]  Score: 1542596284
17.HAPPYEXE(343)  [S級織田信長]  Score: 1529150826
18.FOX186(359)  [バハムート]  Score: 1515248257
19.L(371)  [ゆっくりしていってね！]  Score: 1503631605
20.B.RS(409)  [メイド王]  Score: 1475805462
21.RedBunny(453)  [幸福理論神]  Score: 1440425122
22.BIGBANG(473)  [世界の傍観者]  Score: 1426708736
23.ODGC3EX!(481)  [I LOVE 初音ミク]  Score: 1414217783
24.AZUSA@.@(493)  [星条旗の女王]  Score: 1404849047
25.NGGFN(546)  [レンかわいいよレン]  Score: 1353722361
26.SkyFox(633)  [Good-bye大王]  Score: 1294454402
27.PLATINUM(645)  [無名の神]  Score: 1285131827
28.O_____O(646)  [グルーヴ六千段]  Score: 1285081509
29.Kirby#64(703)  [青龍]  Score: 1246690204
30.Xa<>_xx(704)  [戦車女王]  Score: 1246186751
31.3345678(707)  [メイド先生]  Score: 1242384610
32.LDT_JACK(715)  [STARLIGHT GOD]  Score: 1239578765
33.DBB_HTC(740)  [I love "東方不死鳥"]  Score: 1224029210
34.Kevin(748)  [I love "蒼空に舞え、墨染の桜"]  Score: 1220240082
35.Flaxer#(751)  [無名の王]  Score: 1216422231
36.+_RM13_(765)  [:-) master]  Score: 1208906685
37.HALKEN(809)  [I love 燦]  Score: 1184291322
38.Yorda(866)  [FEB, 2018 TOP RANKER]  Score: 1159322845
39.Akatsuki(896)  [第四ノ封印ヲ解放セシ者]  Score: 1145488202
40.LDT-Cus(916)  [遠征]  Score: 1134728221
41.AXue(931)  [日本勢]  Score: 1121863135
42.SRH(950)  [I love "議論 -HEAT UP-"]  Score: 1113834679
43.G8.inc(952)  [練習中]  Score: 1112780558
44.SAKI(958)  [神霊「夢想封印 瞬」]  Score: 1108807184
45.tinrtgu(996)  [絶望]  Score: 1087631025
