"Taiwan"@"2017年09月14日02時10分"

1. Hazuneko(18)  [猫神]  Score: 1551200039
2. GROOVER(63)  [「幼女の世界」]  Score: 1544346324
3. Xuzuo(76)  [Detonator God]  Score: 1542558376
4. HORIZON(78)  [Ｓ＋級紅茶]  Score: 1541892115
5. %2A_MIKU_%2A(90)  [MikuMikuGod]  Score: 1539710728
6. KYONKO(130)  [OVER THE GOD]  Score: 1525757180
7. xx_Adam(138)  [悪ノ女王]  Score: 1521160421
8. S-Kang(160)  [天下一チャレンジャー]  Score: 1514495031
9. xx_LA-LA(172)  [強欲の魔法使い]  Score: 1509774391
10. S_LAN(190)  [α]  Score: 1501675011
11. R.KaBaTa(207)  [発狂大魔人]  Score: 1493926765
12. xx_Clark(220)  [Pray King]  Score: 1488521721
13. 387(225)  [「プリスティンビート」]  Score: 1485676434
14. HAPPYEXE(289)  [第五ノ封印ヲ解放セシ者]  Score: 1454884589
15. L(298)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1448216176
16. MOEOU(346)  [神・漆級]  Score: 1417910858
17. FOX186(404)  [夏だ！海だ！初音ミク]  Score: 1369190516
18. AZUSA%40.%40(490)  [星条旗の女王]  Score: 1295680916
19. B.RS(531)  [神速の反射神経]  Score: 1264535802
20. 3345678(548)  [メイド先生]  Score: 1253062959
21. xx_DiC(554)  [妹大王]  Score: 1248382631
22. LDT_JACK(566)  [STARLIGHT GOD]  Score: 1239610326
23. Flaxer%23(570)  [無名の王]  Score: 1237000681
24. Kirby%2364(581)  [青龍]  Score: 1230376600
25. Xa%3C%3E_xx(648)  [戦車女王]  Score: 1185933453
26. RedBunny(712)  [幸福理論神]  Score: 1154934645
27. LDT-Cus(715)  [LINK MASTER]  Score: 1153954858
28. NGGFN(718)  [レンかわいいよレン]  Score: 1152105153
29. G8.inc(762)  [練習中]  Score: 1131391752
30. PLATINUM(771)  [十人の話を同時に聞くことが出来る女神]  Score: 1129057385
31. SkyFox(772)  [絶対思想啓蒙局先生]  Score: 1128317984
32. O_____O(782)  [Ｓ＋級焼肉]  Score: 1121515580
33. BIGBANG(785)  [世界の傍観者]  Score: 1118425581
34. AXue(848)  [GROOVER]  Score: 1079103439
35. HALKEN(862)  [I love 燦]  Score: 1073452378
36. +_RM13_(867)  [GENESYS]  Score: 1071317770
37. DBB_HTC(876)  [I love "東方不死鳥"]  Score: 1066806070
38. tinrtgu(878)  [絶望]  Score: 1065425281
39. SAKI(917)  [神霊「夢想封印 瞬」]  Score: 1043917100
40. Kevin(923)  [I love "蒼空に舞え、墨染の桜"]  Score: 1040372462
