Taiwan@2018年03月23日02時10分

1.Hazuneko(17)  [環状線神]  Score: 1694396356
2.*_MIKU_*(62)  [MikuMikuGod]  Score: 1688925246
3.Xuzuo(91)  [Detonator God]  Score: 1682096060
4.KYONKO(121)  [LINK PERFECT]  Score: 1672499387
5.HORIZON(134)  [Ｓ＋級紅茶]  Score: 1666298979
6.xx_Adam(139)  [第四ノ封印ヲ解放セシ者]  Score: 1664330426
7.S-Kang(163)  [天下一チャレンジャー]  Score: 1650499929
8.xx_LA-LA(165)  [バーカバーカ！]  Score: 1650220840
9.R.KaBaTa(190)  [TANO*C MASTER]  Score: 1641502817
10.xx_DiC(194)  [会いたい神]  Score: 1640673374
11.S_LAN(196)  [α]  Score: 1640089395
12.xx_Clark(218)  [「荒ぶる戦士」]  Score: 1627792005
13.387(231)  [「プリスティンビート」]  Score: 1616877269
14.MOEOU(250)  [獏]  Score: 1605957124
15.LEO*(277)  [北海道勢]  Score: 1581844808
16.GROOVER(325)  [「幼女の世界」]  Score: 1542596284
17.HAPPYEXE(339)  [S級織田信長]  Score: 1529150826
18.FOX186(356)  [バハムート]  Score: 1514086750
19.L(369)  [ゆっくりしていってね！]  Score: 1503631605
20.B.RS(406)  [メイド王]  Score: 1475805462
21.RedBunny(452)  [幸福理論神]  Score: 1440415810
22.BIGBANG(479)  [世界の傍観者]  Score: 1415205469
23.ODGC3EX!(480)  [GROOVER]  Score: 1413976808
24.AZUSA@.@(490)  [緑眼の女王]  Score: 1403866184
25.NGGFN(545)  [レンかわいいよレン]  Score: 1353722361
26.SkyFox(633)  [たのしー！]  Score: 1293308714
27.PLATINUM(642)  [無名の神]  Score: 1285131827
28.O_____O(645)  [グルーヴ六千段]  Score: 1282168939
29.Kirby#64(698)  [青龍]  Score: 1246690204
30.Xa<>_xx(699)  [戦車女王]  Score: 1246186751
31.3345678(705)  [メイド先生]  Score: 1242384610
32.LDT_JACK(712)  [STARLIGHT GOD]  Score: 1239388545
33.DBB_HTC(741)  [I love "東方不死鳥"]  Score: 1221004191
34.Kevin(745)  [I love "蒼空に舞え、墨染の桜"]  Score: 1220240082
35.Flaxer#(749)  [無名の王]  Score: 1216422231
36.+_RM13_(761)  [:-) master]  Score: 1208906685
37.HALKEN(807)  [I love 燦]  Score: 1184291322
38.Yorda(863)  [FEB, 2018 TOP RANKER]  Score: 1157158896
39.Akatsuki(893)  [第四ノ封印ヲ解放セシ者]  Score: 1145447607
40.LDT-Cus(916)  [遠征]  Score: 1134728221
41.AXue(930)  [日本勢]  Score: 1121863135
42.SRH(950)  [I love "議論 -HEAT UP-"]  Score: 1113834679
43.G8.inc(952)  [練習中]  Score: 1112780558
44.SAKI(956)  [神霊「夢想封印 瞬」]  Score: 1108807184
45.tinrtgu(995)  [絶望]  Score: 1087631025
