1. marirui  [ouroboros god]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1612000000 
22. akariki  [わぁい神様大好き]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1610080092 
23. CROW  [下剋上]    [セガ秋葉原１号館@東京都@関東] Score: 1610061047 
24. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1610049809 
25. SKYMAN  [DX超性能フルメタル神]    [スターダスト@岡山県@中国] Score: 1610014681 
26. 2K-DeW  [I love "Stratospheric Journey"]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1609941399 
27. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1609712056 
28. Hei*  [God of Moon]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1609463159 
29. YAMA-!?  [無彩色神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1609435196 
30. DogDept.  [下剋上]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1609299240 
31. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1609244552 
32. MiroT  [Ｓ＋級おでん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1608926411 
33. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1608854921 
34. MHRJ  [星の歌姫]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1608726895 
35. TaNiTi  [I love "Black MInD"]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1608655449 
36. Mavis.V  [雷神]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1608486022 
37. HAK0BUNE  [ファイナルスパーク神]    [コムテックタワー@愛知県@東海] Score: 1608425399 
38. QWERTZ  [I love IOSYS]    [ビーカム松森店@宮城県@東北] Score: 1608376340 
39. Y*xx-!?  [羅刹神]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1608259409 
40. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1608054585 
41. GUREKO+  [G.T.]    [ラウンドワン秋田店@秋田県@東北] Score: 1607899828 
42. CloudyB.  [真・十溝段]    [MOFUN SEOUL@Korea@海外] Score: 1607897231 
43. 44327  [LINK PERFECT]    [ラウンドワン福山店@広島県@中国] Score: 1607506454 
44. tsnk  [Transfer God]    [ジーカム和白@福岡県@九州] Score: 1607411615 
45. Shikyo  [流星神]    [キャッツアイ麻生店@北海道@北海道] Score: 1607362611 
46. 9_tan*40  [九龍神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1607262121 
47. ISiNKaGe  [AM貴族　すたどんたん女神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1607166627 
48. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1607092223 
49. FUJIN  [AM貴族　すたどんたん女神]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1606998753 
50. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1606985246 
51. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1606971253 
52. 9M@NO3  [山形勢]    [タイトーイン綾瀬@東京都@関東] Score: 1606964611 
53. /*nYa  [小夜ちゃん女神]    [ソユーゲームフィールド新発田店@新潟県@信越] Score: 1606957506 
54. SMP  [蛇神]    [タイトーステーション広島紙屋町@広島県@中国] Score: 1606618779 
55. LEE  [幻想郷の神主]    [キャッツアイ恵庭店@北海道@北海道] Score: 1606588935 
56. SCOTT  [下剋上]    [ピンクパンサーつくば店@茨城県@関東] Score: 1606486309 
57. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1606431111 
58. 9*cM  [(9)神]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1606388495 
59. CATENARY  [I love "2112410403927243233368"]    [セガ金山@愛知県@東海] Score: 1606377592 
60. TAK1  [I love IOSYS]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1605898358 
61. SEA+EX  [NOV, 2017 TOP RANKER]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1605058152 
62. Inver  [神の末裔の亡霊]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1604762086 
63. KenWong  [水中だと力が増す人魚]    [AMERICAN POOL@Hong Kong@海外] Score: 1604758213 
64. *_MIKU_*  [King of groove master?]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1604752459 
65. NEO+ex  [雷神]    [ハイテクランド　キューデン@東京都@関東] Score: 1604225427 
66. BRO  [妹様]    [ラウンドワン青森店@青森県@東北] Score: 1604165751 
67. antisan  [Crazy ∞ Goddess]    [遊スペース　マジカル@兵庫県@近畿] Score: 1603827509 
68. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1603674134 
69. KEYJILL*  [TANO*C GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1603322869 
70. ChanM@ru  [Rebellion God]    [タイトーステーション金沢店@石川県@北陸] Score: 1603004196 
71. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1602937253 
72. Makaru.G  [I Love MSSP!]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1602891672 
73. Koton@ri  [Ｓ＋級カレー]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1602609865 
74. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1602599245 
75. NARSAN  [GAME MUSIC TRIANGLER]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1601952801 
76. HIKARU  [GOD OF REVIVAL]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1601947182 
77. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1601590227 
78. M2*NI53  [I love "Lost Colors"]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1601276328 
79. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1601066497 
80. K.x*N3  [幽冥楼閣の亡霊少女]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1601051459 
81. LEOPARD6  [私のことは殿下と呼びたまえ！]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1600510434 
82. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1599723426 
83. Komimi  [Ｓ＋級おにぎり]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1599674712 
84. FIEL  [Bless You God]    [スペースファンタジーインフィニ@青森県@東北] Score: 1599446317 
85. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1599435602 
86. Yahiko*  [Trancegod カノン]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1599263196 
87. chris  [Detonator God]    [キャッツアイ麻生店@北海道@北海道] Score: 1598938310 
88. KURI_ZZZ  [ふわっふわ15歳]    [セガワールド豊科@長野県@信越] Score: 1598830924 
89. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1598118190 
90. YUKIMARU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1597787369 
91. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1597613932 
92. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1597584666 
93. FRED  [I love "弱虫モンブラン"]    [アピナ伊那店@長野県@信越] Score: 1597498018 
94. Sasuke  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1597271198 
95. P-KANA*  [最高の舞台を目指せ！]    [ラウンドワン草加店@埼玉県@関東] Score: 1597231612 
96. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1597188652 
97. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1597154440 
98. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1597004484 
99. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1596936986 
100. Ryukl*  [太陽神]    [セガ池袋ギーゴ@東京都@関東] Score: 1596104449 
********************************************************************************************
101. NORIp  [MNKGod]    [スーパーノバ天童@山形県@東北] Score: 1595784253 
102. Albireo  [わわわわーにん！]    [プレイロットジョイ@東京都@関東] Score: 1595527536 
103. Kreide  [ピッチピチ16歳]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1595502854 
104. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1594953736 
105. KENO  [TANO*C MASTER]    [ディノスパーク南福島店@福島県@東北] Score: 1594596764 
106. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1593547701 
107. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1593319489 
108. A.S.HERO  [夢に向かって飛び立て！]    [MOFUN SEOUL@Korea@海外] Score: 1593106363 
109. IIBOU  [SUN]    [タイトーＦステーション上越店@新潟県@信越] Score: 1592733742 
110. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1592292734 
111. SHUU  [ouroboros king]    [セガワールド米沢@山形県@東北] Score: 1591174931 
112. HITACHI  [NOV, 2017 TOP RANKER]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1591052819 
113. GIL  [二代目超シューティング神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1590706417 
114. KYONKO  [LINK PERFECT]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1590271040 
115. Mojo  [天下無双]    [ナムコランド広島店@広島県@中国] Score: 1590175393 
116. yetogen  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1589331817 
117. Rinne!?  [三途の水先案内人]    [プラボ札幌西町店@北海道@北海道] Score: 1589217795 
118. onsenti  [dis-human]    [タイトーステーション池袋西口店@東京都@関東] Score: 1587983968 
119. MYU-10  [一番星☆☆☆]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1587961022 
120. tope-kon  [STAR COASTER KING]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1587825823 
121. G.urakaM  [凶兆の黒猫]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1586870687 
122. VERDURE  [すうぃーと☆ゴッド]    [ARCADE1@Korea@海外] Score: 1586165608 
123. NOLF68  [アイエエエエエ！]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1585248487 
124. RLya  [Bright God]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1585006173 
125. OGAPY.GC  [オンラインゲームキング]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1584884459 
126. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1583951369 
127. Naka.F  [死ぬがよい。]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1583239574 
128. Shougo99  [神・壱級]    [ラウンドワン浜松店@静岡県@東海] Score: 1583011684 
129. Nera  [弱虫神]    [プレイロットジョイ@東京都@関東] Score: 1582864959 
130. ICENON*  [God hive of Ra]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1582600486 
131. U5*  [Halcyon God]    [ＧＡＭＥ　ｅｐｒｉｓ@宮城県@東北] Score: 1582404181 
132. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1582130370 
133. juni  [STAGER GOD]    [セガ鳥取@鳥取県@中国] Score: 1581406818 
134. Syou0139  [伝統の幻想ブン屋]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1580754984 
135. RETurn  [I love "怪談「カーナビ」"]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1580453151 
136. BEGINNER  [GROOVER]    [セガ池袋ギーゴ@東京都@関東] Score: 1579123206 
137. DNOO  [初代DREAMER]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1578940192 
138. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1578532476 
139. HONOME  [この宇宙を抱いて輝く神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1578434493 
140. cohalz  [infinity]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1578074221 
141. ())  [アスノヨゾラ神班]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1578030971 
142. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1577740527 
143. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1577624233 
144. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1576241135 
145. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1576188458 
146. MIKO  [PLUTO]    [ラウンドワン武蔵村山店@東京都@関東] Score: 1576136041 
147. VAL  [I love "DX超性能フルメタル少女"]    [ジョイランド鯖江店@福井県@北陸] Score: 1576100618 
148. cycla.  [サドマミゴッド]    [セガワールド北山形@山形県@東北] Score: 1575765493 
149. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1575691807 
150. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1575631186 
151. Law  [DEATH]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1575306560 
152. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1574366133 
153. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1574252524 
154. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1573583186 
155. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1573394345 
156. arisia  [幸福理論神]    [タイトーステーション浜松店@静岡県@東海] Score: 1573332587 
157. kum@risa  [全都道府県完全制覇]    [ラッキー八千代店@千葉県@関東] Score: 1573033757 
158. SEFY  [カンフー神]    [キャロム坂戸店@埼玉県@関東] Score: 1572649751 
159. xx_Adam  [第四ノ封印ヲ解放セシ者]    [ESLITE WUCHANG@Taiwan@海外] Score: 1572633976 
160. NOGUnSO  [Ｓ級幼稚園児]    [Ｌａ・Ｆｉｅｓｔａ@愛知県@東海] Score: 1572540728 
161. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1572022241 
162. KUU  [小さなスイートポイズン]    [タイトーイン綾瀬@東京都@関東] Score: 1571880063 
163. C-man  [Don't stop funky music!]    [ラウンドワン三宮駅前店@兵庫県@近畿] Score: 1569635310 
164. DADDY  [I love "DADDY MULK"]    [ラウンドワン宮崎店@宮崎県@九州] Score: 1569466679 
165. xx_LA-LA  [バーカバーカ！]    [TOM'S(KEELUNG TEMPLE)@Taiwan@海外] Score: 1569189658 
166. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1568467078 
167. FSTK  [Chaos God]    [タイトーステーション立川北口店@東京都@関東] Score: 1568434864 
168. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1568414355 
169. BL4CK3M0  [GHOST]    [プレイランドキング円町店@京都府@近畿] Score: 1568384420 
170. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1567987171 
171. HiBi  [I love "The Future"]    [ゲームランド（岡崎）@愛知県@東海] Score: 1567571393 
172. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1567230183 
173. RAM4  [Don't stop funky music!]    [ムトス相模原店@神奈川県@関東] Score: 1567003747 
174. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1565893742 
175. ZONE  [シンガポール勢]    [リッチモンド@熊本県@九州] Score: 1565565402 
176. M4R1S4  [古びた琵琶の付喪神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1565178451 
177. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1564987739 
178. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1563444431 
179. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1563344222 
180. BASS  [アークエンジェル]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1562301183 
181. TOKOHA  [Transfer God]    [グラントシティ　ＩＮＮ　キスケ@愛媛県@四国] Score: 1561562829 
182. R.KaBaTa  [発狂大魔人]    [TOM'S WORLD(MIRAMAR)@Taiwan@海外] Score: 1561472805 
183. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1561209352 
184. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1561191943 
185. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1560826117 
186. Eagle.  [Ever…]    [タイトーイン綾瀬@東京都@関東] Score: 1560573911 
187. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1559953448 
188. Kirisame  [魔砲「ファイナルマスタースパーク」]    [アミパラ橿原店@奈良県@近畿] Score: 1559671903 
189. H.SYSTEM  [EAST CAPITAL]    [遊パラダイス@山形県@東北] Score: 1558586368 
190. Cocoa.*  [HARDCORE SYNDROME]    [セガワールド静岡@静岡県@東海] Score: 1558432390 
191. PETER1  [第四回天下一チャレンジャー]    [AMERICAN POOL@Hong Kong@海外] Score: 1557505075 
192. DAGO  [世界事情マスター]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1557195663 
193. GFP  [I love Ray series]    [カレッジ・スクエア@山形県@東北] Score: 1554686614 
194. TAPE  [踊ってみたら七変化！]    [セガ秋葉原１号館@東京都@関東] Score: 1554503063 
195. Raijin.  [Crazy ∞ Goddess]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1554072132 
196. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1553707613 
197. karinPTV  [I love "Lost Colors"]    [セガイオンタウン名西@愛知県@東海] Score: 1552883269 
198. EN453  [Good-bye神]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1552835104 
199. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1552370805 
200. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1551646323 
********************************************************************************************
201. GROOVER  [「幼女の世界」]    [TOM'S WORLD(TAINAN JHENGUANG)@Taiwan@海外] Score: 1551243640 
202. remina  [LINK PERFECT]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1550267056 
203. xx_Clark  [小人の末裔]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1549257978 
204. PezzA>.<  [真・千段]    [タイトーステーション柏店@千葉県@関東] Score: 1549031169 
205. HASSY  [Ｓ級ワルキューレ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1548980696 
206. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1548800858 
207. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1548543424 
208. NANOHA77  [沖縄勢]    [セガ秋葉原１号館@東京都@関東] Score: 1548374516 
209. MINE.  [Z神]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1548064882 
210. T=YURIKA  [ヴァンパイア姫]    [エンターテインメントフィールド@大阪府@近畿] Score: 1546242927 
211. ARuFa  [クロビ勢]    [タイトーステーション池袋西口店@東京都@関東] Score: 1545894471 
212. ZODY  [OMAKENO Daiou]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1545400264 
213. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1544912042 
214. EXT  [仮初の満足]    [タイトーイン綾瀬@東京都@関東] Score: 1544641395 
215. Camilia  [青森勢]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1544412755 
216. Chuckey  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1542829045 
217. Goat  [I love "ouroboros -twin stroke of the end-"]    [セガワールド高城@大分県@九州] Score: 1542426589 
218. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1540887387 
219. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1540853464 
220. Darful  [I Love MSSP!]    [インターワールド伊勢崎店@群馬県@関東] Score: 1540831787 
221. GARYU!!!  [グルーヴ五十万段]    [タイトーステーション町田店@東京都@関東] Score: 1540510271 
222. KENTA-09  [レヴ民でヴ民]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1539001259 
223. 10-LL*  [Halcyon God]    [メジャーゲーム館@新潟県@信越] Score: 1538347933 
224. SGK4444  [Don't stop funky music!]    [Ｈｅｙ@東京都@関東] Score: 1537904309 
225. Hinata  [I love "初音ミクの消失"]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1537100993 
226. LEO*  [岐阜勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1536901797 
227. BYDO  [BRIER CASTLE]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1536721588 
228. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1536636288 
229. ZE4MI  [旧渋谷神]    [ゲームパニックつくば@茨城県@関東] Score: 1535343907 
230. mrskon-G  [旅人]    [タイトーステーション大須店@愛知県@東海] Score: 1534725952 
231. MAKURO  [死してなお、愉しい女神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1534342194 
232. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1534107631 
233. U.runo  [ミリアの下僕]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1533825413 
234. FUTAMI.M  [NORTH OCEAN]    [セガ難波アビオン@大阪府@近畿] Score: 1533428454 
235. AKIO  [I love "Invader GIRL!"]    [ユーズランド東浦店@愛知県@東海] Score: 1532700655 
236. *Ta2maN*  [ハイテンションA-POPガール]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1532662377 
237. e99tart  [GROOVER]    [セガワールド大森@東京都@関東] Score: 1532141849 
238. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1531458304 
239. Takashi#  [変なTシャツ女神]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1531381706 
240. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1530409559 
241. 387  [「プリスティンビート」]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1530062650 
242. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1529874601 
243. yukineko  [全都道府県グルメ完食]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1529660111 
244. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1528589438 
245. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1527910102 
246. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1527164784 
247. W.F.184  [無彩色神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1526050468 
248. ZoKoSu  [輝け！ミドリウム！]    [セガ海田@広島県@中国] Score: 1525559704 
249. mea*  [うー！がぉー！]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1524673065 
250. Kiririya  [I love "ノルニル"]    [プレイロットジョイ@東京都@関東] Score: 1524470096 
251. tsuccho  [リズム感の神]    [中川メトロポリス@愛知県@東海] Score: 1524012166 
252. CHIRU9  [Ｓ級中尉]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1523963183 
253. LOCK  [紅蓮の愚流超神皇]    [セガ池袋ギーゴ@東京都@関東] Score: 1523255342 
254. natsume.  [SPARKLING GOD]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1522937128 
255. GACHAPIN  [行脚王]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1522652026 
256. MiKUya  [シンセサイザ ゴッド]    [コムテックタワー@愛知県@東海] Score: 1521947539 
257. PROCO.Jr  [うー！がぉー！]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1521677256 
258. Tokky  [MY FIRST GOD]    [キャッツアイ麻生店@北海道@北海道] Score: 1520904410 
259. Mikurino  [すっごーい！]    [ROUND1(MAIN PLACE)@America@海外] Score: 1520781896 
260. MAID  [クロビ勢]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1520771805 
261. uit  [バジリスク]    [セガワールド高山@岐阜県@東海] Score: 1520686713 
262. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1519301583 
263. KaZuKi09  [弱虫神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1518780235 
264. BANANA  [初代SSS CLASS]    [ラウンドワン梅田店@大阪府@近畿] Score: 1518441938 
265. MOEOU  [九尾]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1517144965 
266. JACK.O  [東方参面録]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1516244808 
267. Kn3.inc  [でんぱ神]    [セガ秋葉原１号館@東京都@関東] Score: 1516090704 
