1. marirui  [ouroboros god]    [ラウンドワン半田店@愛知県@東海] Score: 1612000000 
698. ethyl  [千本桜先生]    [コムテックスクウェア@愛知県@東海] Score: 1195472930 
765. KEY.MA  [THREEFOLD]    [ユーワールド豊明@愛知県@東海] Score: 1167727514 
787. rikuoh-M  [甘い甘い神様]    [アミューズファクトリー@愛知県@東海] Score: 1156774859 
805. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1147197906 
806. NYUDORA  [I love "MERLIN"]    [セガ安城@愛知県@東海] Score: 1146625256 
845. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1127713600 
853. *SHEEP*  [十二宗家]    [ナムコランドＨＣ名古屋店@愛知県@東海] Score: 1124943077 
854. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1124516443 
857. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1122421536 
878. Astral  [Z神]    [タイトーステーション大須店@愛知県@東海] Score: 1109519838 
883. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1107017080 
896. KEISUKE  [グルーヴ皆伝]    [アーバンスクエア大須@愛知県@東海] Score: 1099081533 
903. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1093842335 
911. Gemma  [全国行脚中]    [ポート２４幸田店@愛知県@東海] Score: 1089656324 
912. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1088512072 
936. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1071020172 
948. C*Crow:S  [Future Coaster God]    [セガ岡崎@愛知県@東海] Score: 1064853336 
951. Al  [現実逃避神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1063288609 
953. DJGEN115  [ベテラン]    [セガ安城@愛知県@東海] Score: 1062269354 
982. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1046929085 
