1. marirui  [ディセイブ ゴッド]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1564000000 
89. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1550926413 
90. KEYJILL*  [TANO*C GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1550641885 
91. ICENON*  [God hive of Ra]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1550591897 
92. KURI_ZZZ  [ふわっふわ15歳]    [セガワールド豊科@長野県@信越] Score: 1550539040 
93. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1550529825 
94. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1549818468 
95. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1549736703 
96. NORIp  [千本桜神]    [アミューズメントパークサムワン@宮城県@東北] Score: 1549322971 
97. Shin  [OVER THE GOD]    [佐原ミナミボウル@千葉県@関東] Score: 1548541787 
98. TUXEDO.R  [駆け出し]    [メジャーロード黒埼店@新潟県@信越] Score: 1548373053 
99. G.urakaM  [三代目スコアタ騎士]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1548109986 
100. Ryukl*  [PaⅢ.KING]    [セガ池袋ギーゴ@東京都@関東] Score: 1547503806 
********************************************************************************************
101. FRED  [Ｓ＋級ピザ]    [アピナ伊那店@長野県@信越] Score: 1547395647 
102. GROOVER  [「幼女の世界」]    [TOM'S WORLD(TAINAN JHENGUANG)@Taiwan@海外] Score: 1547343003 
103. DADDY  [I love "DADDY MULK"]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1547200103 
104. kum@risa  [全都道府県完全制覇]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1546690609 
105. mikan?  [絶対思想啓蒙局神]    [ラウンドワン青森店@青森県@東北] Score: 1546599864 
106. BL4CK3M0  [GHOST]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1545722894 
107. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1545631383 
108. KENO  [砕ける前に撃て！！]    [ラウンドワン福島店@福島県@東北] Score: 1545610683 
109. SHUU  []-[|/34&lt;#! 60|)]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1544962737 
110. LEE  [語られる怪力乱神]    [キャッツアイ恵庭店@北海道@北海道] Score: 1544589388 
111. IIBOU  [SUN]    [タイトーＦステーション上越店@新潟県@信越] Score: 1544003784 
112. GIL  [Get down everybody!]    [タイトーステーション池袋西口店@東京都@関東] Score: 1543919657 
113. KUPU  [xx God]    [タイトーステーション弥富店@愛知県@東海] Score: 1543875465 
114. THOMAS91  [わわわわーにん！]    [MOFUN SEOUL@Korea@海外] Score: 1543565706 
115. GUEST  [GROOVER]    [ラウンドワン前橋店@群馬県@関東] Score: 1543427099 
116. Yuly7188  [唯我独尊]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1543377229 
117. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1543229291 
118. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1542704570 
119. 9_tan*40  [一番星☆☆☆]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1541876234 
120. Kreide  [ピッチピチ16歳]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1541847118 
121. Mojo  [天下無双]    [ビバーチャ@広島県@中国] Score: 1541757339 
122. A.S.HERO  [超シューティング神]    [MOFUN SEOUL@Korea@海外] Score: 1541507856 
123. N4ken@Bs  [旅人]    [タイトーフジグラン北島店@徳島県@四国] Score: 1540838149 
124. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1540329035 
125. onsenti  [彩符「極彩颱風」]    [タイトーステーション池袋西口店@東京都@関東] Score: 1540141140 
126. K.x*N3  [幽冥楼閣の亡霊少女]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1539128279 
127. NOLF68  [日本一周]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1538064191 
128. KYONKO  [TANO*C GOD]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1537953558 
129. VERDURE  [Get down everybody!]    [MOFUN SEOUL@Korea@海外] Score: 1537434056 
130. Raijin.  [魔界帝王]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1537086057 
131. MIKO  [NEPTUNE]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1536704411 
132. Shougo99  [神・弐級]    [ラウンドワン浜松店@静岡県@東海] Score: 1535510545 
133. 9*cM  [[ 9 ]]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1535075601 
134. MYU-10  [一番星☆☆☆]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1534620262 
135. Law  [トラップ回避マスター]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1534610248 
136. HITACHI  [LINK PERFECT]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1534239561 
137. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1534092304 
138. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1533694985 
139. cohalz  [超シューティング神]    [キャロム坂戸店@埼玉県@関東] Score: 1533130869 
140. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1533104256 
141. Syou0139  [伝統の幻想ブン屋]    [モリシア　アミューズパーク@千葉県@関東] Score: 1532573036 
142. RETurn  [インフィニティ神]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1532268994 
143. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1530907175 
144. cycla.  [PaⅢ.GOD]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1530748992 
145. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1529964142 
146. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1529649554 
147. OGAPY.GC  [オンラインゲームキング]    [ラッキー八千代店@千葉県@関東] Score: 1529408732 
148. Takashi#  [God more raves?]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1529291578 
149. chris  [Detonator God]    [キャッツアイ篠路店@北海道@北海道] Score: 1528944611 
150. karinPTV  [I love "Lost Colors"]    [セガワールド上小田井@愛知県@東海] Score: 1528421981 
151. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1528187440 
152. 44.44  [STAR COASTER GOD]    [プレイランドキング円町店@京都府@近畿] Score: 1528143451 
153. HONOME  [水難事故の念縛霊]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1527988233 
154. Vedr  [練習中]    [沼津バッティングスタジアム@静岡県@東海] Score: 1526599399 
155. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1526258226 
156. SEFY  [超シューティング神]    [キャロム坂戸店@埼玉県@関東] Score: 1525584369 
157. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1525288868 
158. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1524949781 
159. NOGUnSO  [Ｓ級幼稚園児]    [セガ安城@愛知県@東海] Score: 1524896337 
160. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1524879319 
161. tope-kon  [超シューティング神]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1524215780 
162. xx_Adam  [悪ノ女王]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1524149568 
163. arisia  [壁をすり抜けられる程度の女神]    [タイトーステーション浜松店@静岡県@東海] Score: 1524139491 
164. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1523792292 
165. SCOTT  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1523744199 
166. KUU  [グルーヴ八万段]    [タイトーイン綾瀬@東京都@関東] Score: 1523200604 
167. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1522916469 
168. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1521973182 
169. NANOHA77  [沖縄勢]    [タイトーステーション柏店@千葉県@関東] Score: 1521825286 
170. xx_LA-LA  [強欲の魔法使い]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1521796473 
171. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1521572114 
172. daisuki  [初代SSS CLASS]    [ユーワールド豊明@愛知県@東海] Score: 1521452415 
173. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1521251089 
174. ())  [渾沌の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1521246105 
175. C-man  [ジルバラードのエンジェル]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1521169344 
176. VAL  [Burst GOD]    [アルプラザボウル鯖江@福井県@北陸] Score: 1520749320 
177. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1520737590 
178. TOKOHA  [神々が恋した神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1519727305 
179. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1518650634 
180. juni  [Black Moon God]    [セガ鳥取@鳥取県@中国] Score: 1518468247 
181. RLya  [地神律神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1518455738 
182. Camilia  [宇宙最速]    [タイトーステーション町田店@東京都@関東] Score: 1518299212 
183. ZE4MI  [旧渋谷神]    [タイトーイン綾瀬@東京都@関東] Score: 1517802534 
184. K-FISHER  [GROOVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1516205311 
185. MEBIUS  [I love STG]    [青森メトロポリス@青森県@東北] Score: 1515770090 
186. NANAMI!?  [SPARKLING GOD]    [ＧＲＥＡ@愛知県@東海] Score: 1515485025 
187. GFP  [I love "Captain NEO"]    [セガ幕張@千葉県@関東] Score: 1514081374 
188. NIS@  [エストポリス神]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1514026023 
189. Kiririya  [中級者]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1513849932 
190. YUKKE_GS  [GROOVER]    [アミパラ岡山店@岡山県@中国] Score: 1512947936 
191. BASS  [エンジェル]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1512621968 
192. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1511473239 
193. Sasuke  [風神]    [ビッグバン釧路@北海道@北海道] Score: 1511387614 
194. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1510550527 
195. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1510134799 
196. FSTK  [Chaos God]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1509747760 
197. H.SYSTEM  [馬刺し]    [遊パラダイス@山形県@東北] Score: 1509616643 
198. Chuckey  [SERIOUS LOOK]    [ナムコランド広島店@広島県@中国] Score: 1508852904 
199. PETER1  [ＥＸ級関脇]    [AMERICAN POOL@Hong Kong@海外] Score: 1508604971 
200. Kirisame  [魔砲「ファイナルマスタースパーク」]    [アテナ日本橋@大阪府@近畿] Score: 1507970643 
********************************************************************************************
201. MINE.  [PRINCESS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1506334538 
202. SCP-106  [Are you ready?]    [キャッツアイ篠路店@北海道@北海道] Score: 1506118163 
203. DAGO  [爆符「ペタフレア」]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1505769153 
204. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1504692201 
205. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1504386008 
206. TAPE  [踊ってみたら七変化！]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1504376049 
207. CHIRU9  [夢のパーティーに飛び込もう！]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1504058244 
208. EN453  [栃木勢]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1503924067 
209. PezzA>.<  [真・千段]    [AMERICAN POOL@Hong Kong@海外] Score: 1503690074 
210. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1503432093 
211. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1503401437 
212. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1503371687 
213. mea*  [Punky Funky God]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1502537365 
214. Takato.  [ピュアヒューリーズ]    [タイトーステーション南大沢店@東京都@関東] Score: 1501986626 
215. Kn3.inc  [でんぱ神]    [プレイロットジョイ@東京都@関東] Score: 1501566489 
216. MONO  [「幼女の世界」]    [ギガゾーン広島駅前店@広島県@中国] Score: 1501560469 
217. HASSY  [Ｓ級ワルキューレ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1500595862 
218. ZODY  [MikuLenGod]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1500310184 
219. xx_Clark  [空間騎兵]    [TOM'S WORLD(HUALIEN E33)@Taiwan@海外] Score: 1500291363 
220. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1500103492 
221. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1499914740 
222. PROCO.Jr  [うー！がぉー！]    [セガ池袋ギーゴ@東京都@関東] Score: 1499270397 
223. BYDO  [宮城勢]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1497637648 
224. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1497411737 
225. SGK4444  [RED ALERT]    [セガ秋葉原１号館@東京都@関東] Score: 1497100814 
226. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1497072491 
227. R.KaBaTa  [発狂大魔人]    [TOM'S WORLD(MIRAMAR)@Taiwan@海外] Score: 1496898312 
228. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1496752433 
229. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1496433399 
230. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1496252783 
231. USA33  [HDM KING]    [ゲームパニック三郷@埼玉県@関東] Score: 1496184410 
232. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1495971852 
233. KENTA-09  [Ｓ＋級ラーメン]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1495153068 
234. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1495027403 
235. yukineko  [グルメゴッド]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1494242149 
236. GARYU!!!  [初代SSS CLASS]    [ラウンドワン町田店@東京都@関東] Score: 1494169624 
237. LEO*  [愛知勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1492943906 
238. NARSAN  [GAME MUSIC TRIANGLER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1492932529 
239. K.K-OTL  [がんばリンカちゃん！]    [東京レジャーランド秋葉原２号店@東京都@関東] Score: 1492644011 
240. mrskon-G  [旅人]    [コムテックタワー@愛知県@東海] Score: 1492387025 
241. e99tart  [GROOVER]    [セガワールド大森@東京都@関東] Score: 1492272187 
242. YooshiEX  [Party 4G]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1490650436 
243. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1490541407 
244. JACK  [がんばユメちゃん]    [タイトーステーション船橋店@千葉県@関東] Score: 1490223346 
245. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1489311026 
246. T=YURIKA  [ヴァンパイア姫]    [セガワールド六地蔵@京都府@近畿] Score: 1488373302 
247. Darful  [フェニックス]    [インターワールド伊勢崎店@群馬県@関東] Score: 1488100847 
248. Hinata  [I love "ようこそジャパリパークへ"]    [テクモピア南越谷店@埼玉県@関東] Score: 1486529255 
249. MORIMORI  [TANO*C MASTER]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1485864985 
250. uit  [I Love 格ゲー]    [セガワールド高山@岐阜県@東海] Score: 1485182531 
251. 3SASAMI3  [GROOVER]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1485061806 
252. tsuccho  [ドウニデモ＝ナ＝レ(76)]    [大垣メトロポリス@岐阜県@東海] Score: 1484863167 
253. EB1FLY  [GROOVER]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1484722345 
254. natsume.  [ミュージック・リボルバー・ゴッド]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1484648554 
255. HiBi  [絶対思想啓蒙局神]    [セガ岡崎@愛知県@東海] Score: 1484106814 
256. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1483827228 
257. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1483068429 
258. Tac  [PaⅢ.GOD]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1482825860 
259. WAKIDON  [おにぎりむしゃ～り！]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1482422373 
260. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1480956378 
261. #KEN*  [URANUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1480830070 
262. HKB7R  [ふわっふわ15歳]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1480532468 
263. JAMOJI  [Cruel God]    [ＯＫ－コーラル@新潟県@信越] Score: 1478989787 
264. ZoKoSu  [I love "ようこそジャパリパークへ"]    [セガ海田@広島県@中国] Score: 1478474870 
265. FUTAMI.M  [フィギュアヘッズ マスター]    [アテナ日本橋@大阪府@近畿] Score: 1477786221 
266. L+Crante  [Ｓ＋級チョコレート]    [セガ霞ヶ浦@茨城県@関東] Score: 1476653528 
267. L  [神宝「蓬莱の玉の枝 -夢色の郷-」]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1475790130 
